# packages in environment at /Users/Grey/miniconda3/envs/unox1:
#
# Name                    Version                   Build  Channel
absl-py                   2.2.2                    pypi_0    pypi
alabaster                 0.7.16                   pypi_0    pypi
anyio                     4.9.0              pyh29332c3_0    conda-forge
appnope                   0.1.4                    pypi_0    pypi
argon2-cffi               23.1.0                   pypi_0    pypi
argon2-cffi-bindings      21.2.0                   pypi_0    pypi
arrow                     1.3.0              pyhd8ed1ab_1    conda-forge
astroid                   3.3.9                    pypi_0    pypi
asttokens                 3.0.0                    pypi_0    pypi
astunparse                1.6.3                    pypi_0    pypi
async-lru                 2.0.5                    pypi_0    pypi
attrs                     25.3.0                   pypi_0    pypi
babel                     2.17.0                   pypi_0    pypi
backports                 1.0                pyhd8ed1ab_5    conda-forge
backports.tarfile         1.2.0              pyhd8ed1ab_1    conda-forge
basemap                   1.4.1                    pypi_0    pypi
basemap-data              1.3.2                    pypi_0    pypi
beautifulsoup4            4.13.4                   pypi_0    pypi
binaryornot               0.4.4              pyhd8ed1ab_2    conda-forge
bleach                    6.2.0                    pypi_0    pypi
brotli-python             1.1.0            py39h7c0e7c0_2    conda-forge
bzip2                     1.0.8                hfdf4475_7    conda-forge
ca-certificates           2025.4.26            hbd8a1cb_0    conda-forge
cachecontrol              0.14.2             pyha770c72_0    conda-forge
cachecontrol-with-filecache 0.14.2             pyhd8ed1ab_0    conda-forge
cachetools                5.5.2                    pypi_0    pypi
cartopy                   0.22.0                   pypi_0    pypi
certifi                   2025.4.26                pypi_0    pypi
cffi                      1.17.1           py39h8ddeee6_0    conda-forge
cftime                    1.6.4.post1              pypi_0    pypi
chardet                   5.2.0              pyhd8ed1ab_3    conda-forge
charset-normalizer        3.4.1              pyhd8ed1ab_0    conda-forge
cleo                      2.1.0              pyhd8ed1ab_1    conda-forge
click                     8.1.8              pyh707e725_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_1    conda-forge
comm                      0.2.2                    pypi_0    pypi
cookiecutter              2.6.0              pyhd8ed1ab_1    conda-forge
coverage                  7.8.0                    pypi_0    pypi
crashtest                 0.4.1              pyhd8ed1ab_1    conda-forge
cycler                    0.12.1                   pypi_0    pypi
debugpy                   1.8.14                   pypi_0    pypi
decorator                 5.2.1                    pypi_0    pypi
defusedxml                0.7.1                    pypi_0    pypi
distlib                   0.3.9              pyhd8ed1ab_1    conda-forge
docutils                  0.21.2                   pypi_0    pypi
dulwich                   0.22.8           py39hd8827cb_0    conda-forge
exceptiongroup            1.2.2              pyhd8ed1ab_1    conda-forge
executing                 2.2.0                    pypi_0    pypi
filelock                  3.18.0             pyhd8ed1ab_0    conda-forge
findpython                0.6.3              pyhff2d567_0    conda-forge
flatbuffers               1.12                     pypi_0    pypi
fqdn                      1.5.1                    pypi_0    pypi
gast                      0.4.0                    pypi_0    pypi
google-auth               2.39.0                   pypi_0    pypi
google-auth-oauthlib      0.4.6                    pypi_0    pypi
google-pasta              0.2.0                    pypi_0    pypi
greenlet                  3.2.1                    pypi_0    pypi
grpcio                    1.71.0                   pypi_0    pypi
h11                       0.16.0             pyhd8ed1ab_0    conda-forge
h2                        4.2.0              pyhd8ed1ab_0    conda-forge
h5py                      3.13.0                   pypi_0    pypi
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
httpcore                  1.0.9              pyh29332c3_0    conda-forge
httpx                     0.28.1             pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
imagesize                 1.4.1                    pypi_0    pypi
importlib-metadata        8.7.0                    pypi_0    pypi
iniconfig                 2.1.0                    pypi_0    pypi
ipykernel                 6.29.5                   pypi_0    pypi
ipython                   8.18.1                   pypi_0    pypi
ipywidgets                8.1.6                    pypi_0    pypi
isoduration               20.11.0                  pypi_0    pypi
jaraco.classes            3.4.0              pyhd8ed1ab_2    conda-forge
jaraco.context            6.0.1              pyhd8ed1ab_0    conda-forge
jaraco.functools          4.1.0              pyhd8ed1ab_0    conda-forge
jedi                      0.19.2                   pypi_0    pypi
jinja2                    3.1.6              pyhd8ed1ab_0    conda-forge
json5                     0.12.0                   pypi_0    pypi
jsonpointer               3.0.0                    pypi_0    pypi
jsonschema                4.23.0                   pypi_0    pypi
jsonschema-specifications 2025.4.1                 pypi_0    pypi
jupyter                   1.1.1                    pypi_0    pypi
jupyter-cache             1.0.1                    pypi_0    pypi
jupyter-client            8.6.3                    pypi_0    pypi
jupyter-console           6.6.3                    pypi_0    pypi
jupyter-core              5.7.2                    pypi_0    pypi
jupyter-events            0.12.0                   pypi_0    pypi
jupyter-lsp               2.2.5                    pypi_0    pypi
jupyter-server            2.15.0                   pypi_0    pypi
jupyter-server-terminals  0.5.3                    pypi_0    pypi
jupyterlab                4.4.1                    pypi_0    pypi
jupyterlab-pygments       0.3.0                    pypi_0    pypi
jupyterlab-server         2.27.3                   pypi_0    pypi
jupyterlab-widgets        3.0.14                   pypi_0    pypi
keras                     2.9.0                    pypi_0    pypi
keras-preprocessing       1.1.2                    pypi_0    pypi
keyring                   25.6.0             pyh534df25_0    conda-forge
kiwisolver                1.4.7                    pypi_0    pypi
libblas                   3.9.0           31_h7f60823_openblas    conda-forge
libcblas                  3.9.0           31_hff6cab4_openblas    conda-forge
